alpha,mode,use_networkx,n,d,outlier_scale,exp_list_T,exp_list_R,exp_list_lambda,exp_list_dL,exp_list_r,exp_list_theta,exp_list_rho,exp_list_cluster_radius,exp_list_num_cands,exp_list_best_err,exp_list_best_mse,seed
0.5,0.1,10,2,0.0,0,10.0,uniform,8,0.5,7,0.001,5000,20,mean,5,10.0,0.0,0.685374335858326,0.12131849985044689,0.4950596147213514,0.17116597360980396
0.45,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.6874063356328033,0.49567593414084465,0
0.45,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.37537356331986843,0.14033167366348084,1
0.45,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.5998878554846127,0.3541851203691667,2
0.45,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,1.0442312106644007,1.0916847529491438,3
0.45,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.8483088916644729,0.7013004518391642,4
0.45,0.1,10,2,0.0,0,10.0,uniform,8,0.5,7,0.001,5000,20,mean,5,10.0,0.0,0.7110415713532316,0.22602851037237923,0.55663558659236,0.3241039191607713
0.4,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.815904222883933,0.663111566216372,0
0.4,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.379696059555395,0.13932849392732308,1
0.4,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.6697958473234266,0.4493965801511268,2
0.4,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,1.01916352661334,1.0294553806192932,3
0.4,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.8406925600116374,0.7517007955017577,4
0.4,0.1,10,2,0.0,0,10.0,uniform,8,0.5,7,0.001,5000,20,mean,5,10.0,0.0,0.7450504432775464,0.2137534724634688,0.6065985632831746,0.2987005344753992
0.35,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.7949213288351348,0.6602774466568155,0
0.35,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.5256840043994094,0.2736638170609863,1
0.35,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.7236415679899004,0.5010594800978431,2
0.35,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,1.1229993262047384,1.3026923705946165,3
0.35,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,1.1013621212865536,1.209763012708691,4
0.35,0.1,10,2,0.0,0,10.0,uniform,8,0.5,7,0.001,5000,20,mean,5,10.0,0.0,0.8537216697431473,0.22883324599247926,0.7894912254237905,0.40148991971046843
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.7277112796569178,0.5235050106662142,0
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.6973886952563727,0.49452529532934697,1
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.8207160054131601,0.6491034083720022,2
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,1.0651279927502304,1.155276458228828,3
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,1.2962954280968,1.7199736688262488,4
0.3,0.1,10,2,0.0,0,10.0,uniform,8,0.5,7,0.001,5000,20,mean,5,10.0,0.0,0.9214478802346961,0.227612810822394,0.9084767682845281,0.47037664110864014
0.25,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.8939104657615977,0.8232149199106691,0
0.25,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.8019419419649718,0.643195195569991,1
0.25,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,1.2870317080617852,1.6504556082287745,2
0.25,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,1.848590310241238,3.441478719948818,3
0.25,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,1.8768538137695845,3.5182330376864868,4
0.25,0.1,10,2,0.0,0,10.0,uniform,8,0.5,7,0.001,5000,20,mean,5,10.0,0.0,1.3416656479598355,0.45566879099602775,2.015315496268948,1.2433537966743113
0.2,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,1.4361755346836718,2.0752805620889307,0
0.2,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.9882706286920494,0.9765435732552766,1
